ID de la propiedad,Precio,Dormitorios,Banos,Parqueos,Tamano de la propiedad,Area,Categoria,URL
DAC14138,"2,100",2,2,2,196,14,Alquiler,https://mapainmueble.com/properties/casita-en-renta-las-conchas-zona-14-dac14138/
CAC5407,"9,900",8,14,10,760,14,Alquiler,https://mapainmueble.com/properties/casa-en-renta-zona-14-codigocc34656-cac5407/
N/A,"3,200",N/A,N/A,5403,4,14,Alquiler,https://mapainmueble.com/properties/rento-casa-para-oficinas-z14-av-las-americas-ref6713-200m2-4-banos-14-parqueos-balcon-9-ambientes-3200-cac5403/
CAC5401,"3,200",4,9,14,200,14,Alquiler,https://mapainmueble.com/properties/alquilo-casa-para-oficinas-z14-con-14-parqueos-cac5401/
N/A,"3,200",N/A,N/A,5394,4,14,Alquiler,https://mapainmueble.com/properties/rento-casa-para-oficinas-z14-av-las-americas-ref6713-200m2-4-banos-14-parqueos-balcon-9-ambientes-3200-cac5394/
CAC5390,"3,200",4,9,14,200,14,Alquiler,https://mapainmueble.com/properties/casa-para-oficina-en-alquiler-zona-14-9-ambientes-200-m2-14-parqueos-cac5390/
N/A,"7,500",N/A,N/A,5379,5,14,Alquiler,https://mapainmueble.com/properties/rento-casa-700m2-const1000-m2-terreno-para-oficina-neg-o-vivienda-z14-las-americas-ref6699-12-parqueos-55-banos-jardin-3-bodegas-700m2-cuarto-servicio-y-guardiania-cac5379/
5,"1,900",6,2,10,300,14,Alquiler,https://mapainmueble.com/properties/zona-14-casa-en-renta-para-oficinas-o-vivienda-fuera-de-garita-cac5366/
N/A,"8,500",N/A,N/A,5369,5,14,Alquiler,https://mapainmueble.com/properties/rento-casa-con-permiso-comercial-z14-ref6711-8500-6-banos-8-parqueos-693m2-cac5369/
N/A,"1,100",4930,2,3,4,14,Alquiler,https://mapainmueble.com/properties/townhouse-en-alquiler-condominio-darue-zona-14-cac4930/
CAC5322,"3,000",2,4,2,299,N/A,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-en-la-canada-zona-14-cac5322/
N/A,"5,000",N/A,5308,4,4,N/A,Alquiler,https://mapainmueble.com/properties/casa-en-renta-en-la-canada-zona-14-cac5308/
N/A,"10,000",5296,5,12,700,14,Alquiler,https://mapainmueble.com/properties/propiedad-grande-en-renta-zona-14-las-americas-cac5296/
CAC5260,"1,950",3,5,3,400,N/A,Alquiler,https://mapainmueble.com/properties/zona-14-townhouse-en-alquiler-5-habitaciones-cac5260/
DAC14160,"3,000",2,2,2,375,14,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-en-la-canada-zona-14-dac14160/
DAC14155,"2,350",3,3,2,325,14,Alquiler,https://mapainmueble.com/properties/casa-en-renta-en-zona-14-la-moncloa-dac14155/
2.5,"1,400",3,2,10,220,14,Alquiler,https://mapainmueble.com/properties/alquiler-de-casa-zona-14-DAC14100/
3.5,"1,900",5,3,260,400,14,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-bonita-y-espaciosa-dac14096/
DAC14089,"2,200",3,3,2,300,N/A,Alquiler,https://mapainmueble.com/properties/casa-c-jardin-y-pergola-3-hab-ave-principal-z-14-DAC14089/
DAC14223,"2,100",2,2,4,196,14,Alquiler,https://mapainmueble.com/properties/preciosa-casa-dentro-de-las-conchas-zona-14-frente-a-la-noria-dac14223/
N/A,"2,200",13821,2,3,2,14,Alquiler,https://mapainmueble.com/properties/casa-en-zona-14-solo-para-vivienda-dac13821/
CAC5150,"3,100",2,4,2,350,14,Alquiler,https://mapainmueble.com/properties/rento-casa-en-la-canada-zona-14-para-vivienda-CAC5150/
CAC5144,"3,500",5,3,2,459,14,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-en-la-canada-zona-14-cac5144/
N/A,"3,000",13774,2,4,2,14,Alquiler,https://mapainmueble.com/properties/casa-en-renta-zona-14-dac13774/
DAC13682,"3,000",2,4,2,350,N/A,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-zona-14-la-canada-dac13682/
2.5,"1,100",3,2,10,230,14,Alquiler,https://mapainmueble.com/properties/th-en-renta-zona-14-por-la-villa-cac4890/
2.5,"1,600",3,4,10,250,14,Alquiler,https://mapainmueble.com/properties/casa-en-renta-zona-14-cac4779/
N/A,"3,500",N/A,13013,4,3,14,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-las-canada-zona-14-DAC13013/
CAC4122,"2,250",3,3,2,325,14,Alquiler,https://mapainmueble.com/properties/en-renta-casa-zona-14-la-canada-cac4122/
9,"6,900",7,6,10,850,N/A,Alquiler,https://mapainmueble.com/properties/casa-en-renta-zona-14-cac3992/
4,"4,999",5,15,"1,541",684,14,Alquiler,https://mapainmueble.com/properties/casa-de-lujo-en-alquiler-zona-14-dac9879/
DAC6586,"2,500",6,15,15,408,14,Alquiler,https://mapainmueble.com/properties/casa-en-alquiler-zona-14-la-villa-no-garita-dac6586/
DAC5321,"2,800",3,3,3,450,14,Alquiler,https://mapainmueble.com/properties/alquilo-casa-zona-14-dentro-de-condominio-cercano-a-colonia-el-campo-dac5321/
